GeneratedStimCST1,GeneratedStimCST2,GeneratedStimCST3,GeneratedStimCST4,GeneratedStimCST5,GeneratedStimCST6,GeneratedStimCST7,GeneratedStimCST8,GeneratedStimCST9,GeneratedStimCST10,GeneratedStimCST11,GeneratedStimCST12,GeneratedStimCST13,GeneratedStimCST14,GeneratedStimCST15,GeneratedStimCST16,GeneratedStimCST17,GeneratedStimCST18,GeneratedStimCST19,GeneratedStimCST20,GeneratedStimCST21,GeneratedStimCST22,GeneratedStimCST23,GeneratedStimCST24,GeneratedStimCST25,GeneratedStimCST26,GeneratedStimCST27,GeneratedStimCST28,GeneratedStimCST29,GeneratedStimCST30,GeneratedStimCST31,GeneratedStimCST32,GeneratedStimCST33,GeneratedStimCST34,GeneratedStimCST35,GeneratedStimCST36,GeneratedStimCST37,GeneratedStimCST38,GeneratedStimCST39,GeneratedStimCST40
-22,-6,-17,15,-18,-11,-10,-21,-14,-25,-12,-10,-34,-70,-74,-56,-53,-51,-40,-61,-39,-51,-50,-55,-52,-81,-57,-49,-18,4,5,-9,-34,-33,-29,-13,-27,-14,-13,-24
12,17,14,43,52,51,56,58,61,69,60,49,55,84,80,65,62,55,51,59,57,49,43,24,11,-9,-16,-32,-42,-46,-63,-63,-57,-71,-54,-77,-82,-104,-109,-128
-8,-19,-36,-66,-57,-26,8,1,1,-6,-4,-17,-45,-45,-63,-91,-55,-58,-51,-33,-57,-51,-42,-41,-38,-45,-33,-46,-57,-46,-20,-25,-32,-25,-8,7,11,2,12,12
21,1,3,23,17,8,-6,-9,-12,-9,-22,-20,-28,-33,-45,-49,5,57,75,87,69,60,52,60,68,70,66,53,53,71,78,81,92,101,78,78,73,43,23,19
13,10,15,2,-30,-28,-42,-23,3,-2,17,32,11,11,16,24,35,45,56,52,58,25,8,27,18,23,46,34,20,13,20,18,4,-19,-24,-27,-34,-38,-54,-45
-32,-29,-19,-31,-31,-26,-35,-34,-28,-41,-28,-11,-5,-5,-21,-13,-31,-7,2,6,1,-31,-48,-42,-5,6,12,4,6,21,18,47,29,24,26,-3,6,8,10,22
16,29,22,22,28,10,-5,-11,-9,18,31,25,16,40,81,84,78,57,72,77,95,82,87,77,97,89,89,84,100,107,92,83,68,76,82,58,30,30,41,44
-23,-45,-32,-33,-38,-18,-29,-27,-20,-7,-19,-13,29,6,14,11,-1,-13,-5,30,19,28,20,50,59,58,67,68,85,83,67,71,95,78,75,90,62,72,84,88
-11,-10,-8,6,17,12,37,37,25,19,33,36,50,52,90,65,60,59,61,83,87,86,88,100,90,97,74,74,60,51,56,40,25,3,-30,-31,-13,-15,-18,-33
24,21,41,47,44,61,76,75,95,122,122,119,125,131,144,141,152,168,172,174,156,139,118,100,98,75,109,120,90,73,72,47,41,58,56,56,41,33,14,20
-6,6,25,42,42,35,17,20,35,30,28,38,52,31,35,38,36,50,46,34,38,46,43,56,34,18,-27,-19,-33,-36,-21,-19,-25,-37,-40,-31,-53,-53,-41,-62
11,21,9,-13,-6,7,16,28,11,20,12,4,-18,-1,2,18,41,24,35,35,49,66,79,68,66,71,119,138,173,180,184,194,186,206,204,184,197,175,147,152
-14,-27,-29,-35,-38,-33,-50,-68,-99,-104,-94,-104,-95,-87,-71,-56,-66,-78,-77,-86,-64,-42,-40,-46,-38,-47,-48,-56,-54,-36,-24,-7,-20,-16,-30,-24,-19,1,18,29
-7,-14,-44,-50,-73,-58,-44,-41,-46,-44,-19,2,-4,-1,-17,-11,1,15,-7,1,-11,-16,-4,1,-1,9,34,25,6,-11,-25,-34,-25,-56,-52,-63,-46,-58,-57,-71
-10,-13,-16,-23,-6,3,32,28,45,14,24,30,25,36,50,66,73,83,73,57,54,57,72,61,54,99,91,120,135,127,126,124,131,152,128,159,172,164,163,168
5,24,41,36,34,46,48,66,56,64,69,90,71,71,73,38,58,100,98,102,96,102,97,96,121,109,101,101,99,121,152,138,129,138,133,163,188,197,206,202
12,30,32,62,72,71,78,95,89,89,125,118,133,146,170,179,142,130,138,143,173,195,203,205,182,210,213,190,198,200,192,200,190,170,144,140,131,138,116,113
-22,6,5,24,32,46,29,49,71,40,38,29,32,20,25,34,39,37,19,20,13,-6,-6,-9,-5,10,20,40,30,17,16,38,58,57,48,26,37,38,20,16
-27,-20,-22,3,-17,-1,1,3,15,33,18,38,20,5,-5,7,-8,-3,4,7,16,-1,14,17,28,14,16,29,45,44,17,1,5,18,25,17,51,53,66,61
-16,-5,11,39,31,8,33,37,21,13,1,19,29,33,37,26,41,47,44,41,40,28,40,61,99,107,95,99,84,76,66,54,61,45,55,68,84,84,94,122
1,-1,27,-11,-17,20,14,6,-12,1,-30,-42,-33,-32,-22,-20,-9,-28,-24,-47,-34,-38,-28,-35,-30,-13,-43,-70,-97,-84,-77,-87,-64,-61,-84,-99,-119,-104,-113,-130
-8,-20,-7,1,6,13,14,1,9,-2,-18,-33,-20,-4,-30,-32,-27,-36,-24,-20,-21,-29,-18,-5,3,-0,14,1,4,25,23,11,41,38,45,34,38,46,47,52
19,-2,2,-27,-26,3,18,18,14,22,39,40,65,53,23,13,10,5,-7,14,-10,-16,-30,-37,-46,-39,-54,-65,-63,-46,-73,-46,-58,-48,-32,-11,-19,-18,-19,-28
5,11,6,9,49,50,61,55,47,43,52,40,13,15,9,13,15,27,41,22,-1,7,13,-1,18,19,22,27,38,62,59,33,49,36,55,47,70,58,42,57
-20,-9,-2,-3,-8,23,18,16,3,-9,-17,9,4,-6,-12,-1,-20,-10,-29,-31,-57,-49,-38,-47,-42,-39,-21,-19,-2,-3,-13,-13,-15,-1,-1,-13,-15,3,-2,-12
15,17,13,2,-19,-17,-21,-15,-37,-16,-8,-31,-15,-23,-18,-14,-27,-69,-60,-65,-73,-66,-76,-65,-62,-77,-64,-56,-36,-49,-62,-57,-46,-33,-33,-35,-25,5,19,21
-8,0,-7,-2,10,24,34,55,83,55,29,16,-13,-18,-22,-18,-13,-23,-34,-22,-27,-47,-46,-43,-48,-38,-34,-36,-36,-29,-35,-50,-52,-49,-41,-41,-47,-38,-39,-26
-1,-0,-1,-14,-28,-41,-14,-16,-2,4,33,47,29,25,39,44,78,78,56,63,50,51,68,73,78,76,74,73,32,38,54,35,13,23,1,-24,-12,-21,-1,-20
-9,-4,4,12,16,13,5,12,7,14,31,-2,26,17,37,61,39,43,95,93,101,106,126,143,129,123,129,129,167,174,181,169,150,163,161,171,159,173,147,171
13,16,-1,-7,-2,16,2,22,64,57,64,55,30,53,64,57,59,56,35,-8,-8,-14,-22,-34,-61,-68,-65,-81,-73,-77,-78,-99,-109,-103,-114,-111,-81,-68,-52,-16
18,25,55,42,32,63,70,70,78,74,71,65,58,44,44,36,58,62,78,77,76,95,118,119,145,153,159,192,216,230,237,229,228,256,226,218,215,218,192,200
12,-2,-5,-23,2,8,5,-8,-6,20,25,30,13,16,28,8,26,63,41,10,10,22,21,19,20,5,-20,5,10,-7,9,-10,-11,1,-11,-16,-15,15,23,17
-3,-6,14,10,-1,3,2,15,30,47,57,67,96,79,75,50,64,65,61,36,39,36,16,-0,-11,-14,-38,-41,-31,-36,-46,-41,-23,-30,-36,-57,-71,-61,-62,-50
11,17,29,52,62,69,69,51,44,49,33,41,46,48,53,54,54,55,69,69,30,23,27,42,63,49,61,65,63,64,64,67,71,61,46,61,59,81,67,59
22,44,29,32,53,74,55,80,90,94,92,78,80,77,112,115,113,114,105,137,147,149,166,166,165,158,149,174,186,188,214,215,220,199,207,186,171,186,192,180
-5,-1,3,-22,-40,-66,-66,-91,-80,-95,-111,-83,-50,-62,-62,-32,-39,-13,-0,1,-3,23,34,25,32,19,22,45,54,43,49,39,70,44,34,46,35,36,46,66
-13,-15,-22,-23,-17,-25,-13,-6,-12,-8,8,23,34,34,25,29,22,18,32,55,64,96,73,74,76,101,109,105,114,124,127,98,114,62,64,41,37,58,51,80
12,9,-4,-11,-4,-39,-30,-25,-12,19,15,1,19,33,32,23,28,11,13,4,-8,8,9,29,14,18,3,13,33,49,18,29,29,35,27,3,17,10,6,9
39,74,54,48,63,33,52,48,70,57,44,79,88,84,69,87,92,59,46,91,92,62,49,44,55,53,55,55,42,60,55,49,52,52,44,47,79,88,79,66
-3,-26,2,6,-11,-9,-30,-21,-23,-21,-15,-2,-14,-35,-36,-48,-41,-68,-54,-49,-65,-70,-56,-19,-24,-3,-15,-11,-14,-8,-15,-36,-39,-32,-39,-41,-35,-26,-36,-40
14,19,-0,23,15,5,-16,-17,-18,-22,-34,-58,-13,10,6,5,11,11,3,18,1,31,5,1,15,17,-5,9,13,1,8,19,53,52,48,41,13,21,-9,-12
-4,10,-31,-17,-24,-43,-42,-38,-44,-66,-47,-43,-53,-34,-28,-47,-37,-63,-78,-76,-69,-67,-96,-83,-63,-45,-53,-58,-73,-69,-64,-75,-61,-47,-37,-48,-67,-57,-35,-53
-33,-10,-11,8,23,5,-1,-13,-9,9,10,-21,-2,-1,-7,-38,-32,-28,-22,-38,-48,-61,-34,-45,-48,-60,-46,-46,-44,-29,-19,-6,-38,-34,-19,-13,1,34,53,37
-12,-13,-22,-23,-4,-11,-15,-18,-7,9,8,3,18,30,37,87,88,94,93,103,96,111,139,141,141,133,127,102,101,89,108,111,113,134,108,114,98,89,94,108
-12,-3,19,7,-7,-7,3,4,-8,-5,-2,-8,-24,-17,-16,-21,-30,-37,-49,-64,-44,-48,-73,-80,-63,-71,-43,-54,-65,-80,-62,-70,-63,-87,-95,-85,-103,-102,-93,-66
10,25,20,12,14,1,18,31,46,65,64,56,64,82,96,111,134,139,157,158,170,150,174,148,151,147,130,135,141,163,165,175,179,202,219,220,222,250,247,260
-13,-23,-10,0,17,8,24,27,27,53,75,42,48,36,32,23,48,67,76,87,95,105,110,108,116,112,107,103,102,103,142,124,108,113,113,102,108,120,103,97
-19,-17,-14,-3,-19,-14,-15,6,11,4,1,-6,16,9,-15,-17,1,11,14,42,33,38,25,14,10,20,51,64,48,46,38,34,53,59,74,84,73,87,68,80
10,27,6,4,4,6,20,31,42,45,71,66,69,61,60,72,54,57,47,59,30,2,27,25,-4,-29,-29,-24,-18,-2,4,3,20,51,52,49,65,58,36,35
4,7,-9,-17,-27,-12,-14,-3,6,4,-25,-19,-8,-19,-18,-24,2,2,6,-9,-20,-40,-28,-18,-30,14,28,35,64,28,27,27,31,16,24,-8,-6,1,1,7
-11,-2,-7,-31,-35,-44,-59,-51,-49,-53,-60,-35,-16,-19,-17,7,34,51,47,39,51,38,23,18,33,36,40,58,62,45,59,66,66,60,52,53,41,34,12,5
-10,-1,22,38,54,65,74,86,75,88,71,81,69,55,49,30,31,48,45,53,56,75,73,78,116,133,120,137,124,125,130,143,138,147,174,146,130,149,145,145
14,48,29,16,16,16,19,15,33,20,24,40,46,37,39,35,27,48,45,37,27,29,7,-17,-14,-32,-38,-25,-11,13,-2,12,17,37,40,53,71,65,59,40
-1,5,-5,-4,-8,-14,-2,11,29,13,12,22,3,33,37,29,45,51,54,44,18,4,-5,3,12,1,14,25,24,10,24,23,8,12,21,-1,28,-4,-27,-9
5,-0,0,12,-0,14,25,25,28,20,7,2,18,15,9,-5,-21,-21,-4,15,24,20,15,21,35,51,20,19,6,-1,26,15,-10,-7,-8,-14,0,9,15,12
6,2,5,15,20,11,3,-12,4,4,-5,6,-1,6,29,44,42,41,71,69,74,79,94,98,104,109,150,164,151,134,110,138,126,142,151,128,159,168,196,202
3,-11,-10,-8,-30,-30,-26,-37,-30,-48,-56,-53,-62,-55,-60,-72,-58,-48,-39,-28,-12,3,4,-2,-3,16,-1,-9,7,20,14,11,9,6,-30,-36,-31,7,-15,-24
-5,-19,-28,-57,-58,-65,-56,-55,-38,-13,-11,-29,-25,-3,-4,3,-11,12,19,13,-12,-21,-36,-43,-37,-24,-21,-19,-13,27,33,36,60,62,52,67,62,66,79,92
-23,-58,-68,-43,-39,-40,-42,-26,-20,-13,-43,-45,-45,-57,-57,-65,-51,-59,-39,-39,-25,10,11,34,19,47,29,29,24,8,-11,-1,-21,-41,-23,-23,-16,-29,-32,-26
3,31,22,20,33,48,19,14,4,5,13,20,38,45,50,65,72,53,55,31,48,17,10,12,12,40,42,33,43,25,34,38,33,24,7,-21,-26,-14,-24,0
-13,20,10,12,34,53,43,54,38,13,24,-2,-33,-33,-12,7,-15,-14,-1,14,38,62,76,55,56,36,55,82,53,66,61,55,42,61,68,67,73,89,77,65
11,35,55,54,34,-0,-14,4,-4,1,5,-28,-8,23,23,38,28,37,70,90,80,65,67,64,63,83,87,112,112,111,123,130,128,105,88,98,107,86,88,97
-17,-31,-13,-39,-31,-16,-42,-44,-61,-59,-65,-89,-79,-69,-78,-69,-89,-107,-124,-125,-132,-103,-103,-94,-85,-79,-75,-56,-73,-48,-37,-54,-36,-18,8,3,28,32,11,-0
15,42,25,24,15,43,30,51,42,55,35,58,26,31,38,27,13,22,7,8,-34,-65,-65,-47,-72,-61,-53,-61,-61,-27,-48,-40,-36,-31,-30,-25,-29,-53,-62,-58
4,14,48,24,35,37,37,27,26,37,44,20,35,39,68,52,42,16,17,32,26,18,15,13,29,30,23,33,13,23,20,53,44,51,53,37,51,18,-10,-29
